diagnosis_code,mention_id,link_source,confidence,review_flag
I10,MENTION_5d9f6ff666cc1642,VISIT_JOIN,0.32,True
I10,MENTION_9085a35889c0719e,SYNONYM_MATCH,0.78,False
I10,MENTION_83b2b15b3d13ce15,VISIT_JOIN,0.32,True
I10,MENTION_4b221c63d73a6040,VISIT_JOIN,0.32,True
I10,MENTION_84f60617bfa6b0e9,VISIT_JOIN,0.32,True
I10,MENTION_df74fa0ca14594a1,VISIT_JOIN,0.32,True
I10,MENTION_c92edb50a90785da,VISIT_JOIN,0.32,True
I10,MENTION_4c18278577fe0479,VISIT_JOIN,0.32,True
I10,MENTION_d3989e3ec7c83b78,VISIT_JOIN,0.32,True
J90,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.32,True
I10,MENTION_bb9946bd56df1ce4,VISIT_JOIN,0.32,True
I10,MENTION_43a5b29cef5cbec7,VISIT_JOIN,0.32,True
I10,MENTION_f8bc051c62f71abc,SYNONYM_MATCH,0.78,False
I10,MENTION_4ebe33c7cb67aa91,VISIT_JOIN,0.32,True
E11,MENTION_486da5cd47b6ee0b,VISIT_JOIN,0.32,True
E11,MENTION_b0514d435109b66f,VISIT_JOIN,0.32,True
E11,MENTION_697e0d5acb070713,VISIT_JOIN,0.32,True
E11,MENTION_c180a6505c79d287,SYNONYM_MATCH,0.78,False
E11,MENTION_c4bd710a34693e1e,VISIT_JOIN,0.32,True
E11,MENTION_c256c0d259929dda,VISIT_JOIN,0.32,True
E11,MENTION_254d256d0b71f709,VISIT_JOIN,0.32,True
E11,MENTION_91cf3cc928a5a130,VISIT_JOIN,0.32,True
I10,MENTION_91cf3cc928a5a130,SYNONYM_MATCH,0.78,False
E11,MENTION_2e9195f99beef318,SYNONYM_MATCH,0.78,False
I10,MENTION_2e9195f99beef318,VISIT_JOIN,0.32,True
E11,MENTION_d8f927c10e147686,VISIT_JOIN,0.32,True
I10,MENTION_d8f927c10e147686,VISIT_JOIN,0.32,True
E11,MENTION_83790952f07c98ca,VISIT_JOIN,0.32,True
I10,MENTION_83790952f07c98ca,VISIT_JOIN,0.32,True
I10,MENTION_4375eebf7f93c109,SYNONYM_MATCH,0.78,False
E11,MENTION_a7a96a166112e0be,SYNONYM_MATCH,0.78,False
E11,MENTION_14c379e4d9ad1ef3,VISIT_JOIN,0.32,True
E03,MENTION_f5108e1f9cfd9cbf,VISIT_JOIN,0.32,True
I10,MENTION_4dfbca6920afbfa0,SYNONYM_MATCH,0.78,False
I10,MENTION_83d07789ef97ab10,SYNONYM_MATCH,0.78,False
I10,MENTION_da4aeb55408dcb28,VISIT_JOIN,0.32,True
I10,MENTION_1ed2b7c9984f54a7,VISIT_JOIN,0.32,True
I10,MENTION_c044edff04d99e51,VISIT_JOIN,0.32,True
E03,MENTION_c85710ebb5f9aa76,VISIT_JOIN,0.32,True
E03,MENTION_eb617daec9356436,VISIT_JOIN,0.32,True
E11,MENTION_09fe60dfa097ca80,VISIT_JOIN,0.32,True
E11,MENTION_a9948c6e33b7fdd5,VISIT_JOIN,0.32,True
E11,MENTION_14fe728dfb82dff3,VISIT_JOIN,0.32,True
E11,MENTION_46ecd0cd9fa3cf21,SYNONYM_MATCH,0.78,False
E11,MENTION_4eedd334d857e965,VISIT_JOIN,0.32,True
E11,MENTION_df30c0d4fd77f582,VISIT_JOIN,0.32,True
E11,MENTION_144b16545aca327f,VISIT_JOIN,0.32,True
I10,MENTION_886e934b4dd3761a,SYNONYM_MATCH,0.78,False
I10,MENTION_b272e131e0ea6ede,SYNONYM_MATCH,0.78,False
I10,MENTION_7ba45b10809fe3e6,SYNONYM_MATCH,0.78,False
I10,MENTION_28eeab8f6079e184,VISIT_JOIN,0.32,True
I10,MENTION_114a05894f0e2e54,VISIT_JOIN,0.32,True
E03,MENTION_2a0c6be5593fe555,VISIT_JOIN,0.32,True
E03,MENTION_0e4651c243a70553,VISIT_JOIN,0.32,True
E03,MENTION_195bf648f97e6223,VISIT_JOIN,0.32,True
J90,MENTION_200d9ad10b41660b,VISIT_JOIN,0.32,True
J90,MENTION_217f9236a6b6864f,VISIT_JOIN,0.32,True
J90,MENTION_68d196f2d03ab595,VISIT_JOIN,0.32,True
I10,MENTION_0cde50e422109ffd,SYNONYM_MATCH,0.78,False
I10,MENTION_76b270f225480225,VISIT_JOIN,0.32,True
I10,MENTION_88fc1e5501638567,SYNONYM_MATCH,0.78,False
I10,MENTION_db2fd9a17e46c1cc,VISIT_JOIN,0.32,True
I10,MENTION_35c6a4422c0d508c,VISIT_JOIN,0.32,True
I10,MENTION_0b5e7fd016f23d07,VISIT_JOIN,0.32,True
I10,MENTION_33695bcced087ab6,VISIT_JOIN,0.32,True
I10,MENTION_a15697edbcec7df9,VISIT_JOIN,0.32,True
I10,MENTION_1519f72e7f03fd76,VISIT_JOIN,0.32,True
I10,MENTION_dfc5bb888172bd8f,VISIT_JOIN,0.32,True
I10,MENTION_48f2175f406012ec,VISIT_JOIN,0.32,True
I10,MENTION_b3843ebbed731054,VISIT_JOIN,0.32,True
I10,MENTION_76d5347f5acfe26b,VISIT_JOIN,0.32,True
I10,MENTION_24613d860ac8184d,VISIT_JOIN,0.32,True
I10,MENTION_e9aa23cbd7c800a4,VISIT_JOIN,0.32,True
I10,MENTION_c2b92d3cad0707b6,VISIT_JOIN,0.32,True
E11,MENTION_e733d8a0442702c9,VISIT_JOIN,0.32,True
E11,MENTION_5fb5f6d31ee75263,VISIT_JOIN,0.32,True
E11,MENTION_b41f13c5fba37169,SYNONYM_MATCH,0.78,False
E03,MENTION_c0e73bd868c1a2cf,VISIT_JOIN,0.32,True
E03,MENTION_11a1be861b58fe91,VISIT_JOIN,0.32,True
E03,MENTION_c8402526de1e0b6a,VISIT_JOIN,0.32,True
E03,MENTION_37d44dfb9562ce00,VISIT_JOIN,0.32,True
E03,MENTION_f03b323611115a52,VISIT_JOIN,0.32,True
E03,MENTION_8d9d9f27320072c0,VISIT_JOIN,0.32,True
E11,MENTION_ebd7a101d3f4a5a8,VISIT_JOIN,0.32,True
E11,MENTION_9a4cbce1b335c4cc,SYNONYM_MATCH,0.78,False
E11,MENTION_19cfc54ed345a10b,VISIT_JOIN,0.32,True
E11,MENTION_82263115ecf93ce3,VISIT_JOIN,0.32,True
E11,MENTION_cb7b821b71f3cc1a,VISIT_JOIN,0.32,True
E11,MENTION_a30929b5e62f6448,VISIT_JOIN,0.32,True
I10,MENTION_5ed1e9db61048dc0,SYNONYM_MATCH,0.78,False
