order_line_id,prescription_code
OL_8918fa4b5cadd925,AAA
OL_3e6db0b5fdc110b3,AA254080
OL_c2cee2b78ac9e739,652100200
OL_572ec3bef7d7298d,649104950
OL_83f2d8f07972128c,658204000
OL_aab8c55a2a588907,670600480
OL_e9691598428f8d4b,647304330
OL_f5ed459cfb6bf602,670300920
OL_bb9e264e4569aaad,642102282
OL_e89b7830d1343e6b,620500120
OL_729f1ce7d728eb53,640000090
OL_b80476f0ced3c30b,622805200
OL_b6dcf0bc8eca30a0,669800160
OL_c5fe63fe099a41af,664600700
OL_440373faba5b2388,AN500004
OL_bd28015cb873bd84,BAS
OL_d65af341f3e18fec,D0113
OL_a09201eb4614b470,D1830
OL_74100242497603b0,D1840
OL_e26b5cc8dc79071f,D1850
OL_fe3a2d5a02eb17c7,D1860
OL_20c7f313d3e6c817,D1870
OL_4d36c3ade21ac957,D1880
OL_1244a19b7e895b28,D2263
OL_5424a8501bdab8ab,D2280
OL_5ef51dbe8aec87f6,D2300
OL_86e04d069fd1d652,D2611
OL_2278c138a7204d49,D2613
OL_3b9e332d76680d07,D2800020
OL_65c451168a88b1b1,D2800030
OL_0595ab0bfcc1314f,D2800060
OL_28a09327fac7027c,D3022
OL_60cf67e8d35015d9,D3063000Z
OL_d3ff3a3a4ef9ba35,D0013
OL_22036bf28e7b4417,EOS
OL_3543b4a32aabeaae,D0002040
OL_9a41145aae1f6e2e,D0002050
OL_2cd33131c5ed2c7f,LYM
OL_80342a1ee54df431,MCH
OL_0655231f604f7364,MCHC
OL_b77a560a4215fa98,MCV
OL_292c13062c3ff60a,MON
OL_b5fda944dc243bcb,NEU
OL_43ee67984ae3edd9,D0002070
OL_e7fd8553353d6b1a,D0002030
OL_f0d8af4eeb3e8465,D0002010
OL_9eb48c8cf39ac9e0,AN500004
OL_a2eb1e61f47ef402,BAS
OL_32382c461fe3c784,D0521030Z
OL_f392d46fa34b5e52,D0521040Z
OL_20370197062720dc,D0522010Z
OL_30a59ea2c36ccefa,D1830
OL_882a69406a6009e8,D1840
OL_2aaa65f67f2c8500,D1850
OL_66bb3a721776431b,D1860
OL_c7f2b768b623f4a3,D1870
OL_99991d7a65573176,D1880
OL_c030404ccf75b7ae,D2280
OL_bbaff4592d911efc,D2300
OL_06bd38bf9c85c131,D2611
OL_034035044219d851,D2800020
OL_e14f3a93332e4824,D2800030
OL_074aaaca71f16b28,D2800060
OL_0e4d231c0549de0f,D3022
OL_36a4e063f847f85a,D3230050Z
OL_ce9c56fe20be8f31,D3230060Z
OL_ff1fef12e0b9e9d5,D3250010Z
OL_fb3477fefaeb2fa5,D0013
OL_7583f0e1ed2cb564,EOS
OL_daf0ac2d9969c421,D0002040
OL_e6ae7b0fea0b5934,D0002050
OL_4c893ee4b7d180ba,LYM
OL_f5d8797224ca0f6f,MCH
OL_2fb1576eedf4b093,MCHC
OL_968e5c11deb87545,MCV
OL_a8206646eb55be47,MON
OL_113e0607600e0437,NEU
OL_a1f99d79d621b977,D0002070
OL_d8e9f89d03c210ab,D0002030
OL_081ca8242a739c5f,D0002010
OL_e9ef8d34f45a7b2b,AA254080
OL_e459c5b4ca154bff,644902890
OL_2ae0fa027dd6a19a,646001150
OL_176685ae4aec820d,653603051
OL_3faee2439da6f74c,653603191
OL_789ac87e4aece48b,653700240
OL_3ce7b871620197a7,670600480
OL_3ca0d5e1539cfd64,690300221
OL_027ab391ea1d7146,647303430
OL_76ce15252c71aed5,647302700
OL_35fe6d2f61c7403c,644801160
OL_21df88fd479e1640,644801160
OL_00cb39ea21d8c0d4,628900880
OL_1ae8cf3d92f75af5,670500540
OL_1b08933aeacea6fd,628900450
OL_f4d91d492152f3f4,628900890
OL_d94c9c87153b6a9a,665600161
OL_756dc49e8928ff4f,628900930
OL_9a9fe1d84afe6020,628900250
OL_54a96ca0b94af147,642105020
OL_835d48f8a634ea30,664600700
OL_f579b5200e036d88,693901830
OL_679e005a5f5855ce,2CHOK8
OL_082f1ec14c3b12b7,AA254080
OL_ab6910176e4cef55,661905080
OL_39615d13eb9fd46f,698003790
OL_4217c64a6e6d3ce6,690300221
OL_a5a88c626cb6baa2,693900030
OL_1fbe5dc47c3ad19a,693903220
OL_81298ae826c3cc8b,643308800
OL_8a8b5ce583a1d8d8,693900170
OL_16706a49ac633ea0,628900880
OL_d83ac26d0aa7d8d9,671805622
OL_aa92553ecae6e3e8,653700240
OL_a71f951553acde2f,628901550
OL_af85175d31ff4096,667400853
OL_a8b8b9d391d80e61,642204180
OL_17ebf487daa4340e,651900890
OL_12bd29880746fa2b,651900890
OL_073bb78c4c2e77d5,AA254080
OL_817569d7b98f22af,642201340
OL_6a33dd321c43eab0,642902650
OL_b3c8c07561ce98d3,670606111
OL_beb6c5e649c817fc,693900170
OL_17a81f66e6fa589f,662503250
OL_422da06186831735,628900110
OL_93fc81c8ef524a0d,641100311
OL_ae9795ab0b60b3a2,661700390
OL_c0f23b465ed7a6c2,628900930
OL_50dd296338c024d4,653602720
OL_45649867de79935f,2CHOK20
OL_628fe0cc09b8339d,AA254080
OL_5cbe3bd191896be4,642201340
OL_e2c2b72f13ea69b6,651901320
OL_d0d618fa8c1bb2b2,653700240
OL_01841c5a6916f492,642202450
OL_4d71c7b16aa2387d,647304340
OL_ffb913c7558a827c,693901500
OL_b04275382fd5ae67,652105790
OL_9a36338ab5a66ee5,657201020
OL_206156f72e1b6138,AA254080
OL_43f19864b7292385,AAA
OL_0fb348ebdf914b09,653700240
OL_bd7152b98e5e9c94,693902610
OL_997faffaa91e6860,693902140
OL_6ed808d7ecf4d8c8,647302700
OL_1df8f1d4b0772725,074200080
OL_4070caaca14f2b5c,667400853
OL_953d17850f5a8c22,642201350
OL_0a5aa37ddeb5aa36,AA254080
OL_427e34936ddee1f0,645700230
OL_445e0372ce134d04,671701840
OL_fa230a2a3e7bb204,644914960
OL_880b49b70f325bb5,620500050
OL_1a5c8eefca1352a8,643605660
OL_9b4884250596d840,642204420
OL_a4b7f92355459fea,676300090
OL_c8fbc79ccc295744,AAA
OL_99c202f058682653,AA254080
OL_356f631c77e8bc58,641602060
OL_32782166d61494be,661904170
OL_1a41460351622e2f,641600380
OL_fd0bda9521f57827,647303430
OL_935c30a785cbda47,649103740
OL_7d3a85c326b58130,649103890
OL_8303fce720515de4,649106050
OL_074ebab5f4265f2d,647304330
OL_e2b39c689d404f26,641905940
OL_f3e86dd8d8e6ebee,676300120
OL_160c95373c0cf889,671806320
OL_3e65c21217eb4f96,642201350
OL_cd0c58056c75fe46,AAA
OL_9df581c1dd6dd6b0,AA254080
OL_fdfedfa42854e09f,652100200
OL_6126feda6e088245,628900230
OL_3b9eb58214790b0c,642201350
OL_dd829ed7352768ae,642202450
OL_43d5ba15266c2423,693900170
OL_a899828906be795e,628900060
OL_429bf163dad6b68a,671807340
OL_0ba272aebdf1ab1c,654001440
OL_9a4ce89f28aa2d5e,AA254080
OL_6ff3cb042f804dcc,642901291
OL_bcd68dce41441de4,641100101
OL_8161c12184bae56d,665502130
OL_7ea47e0db0c8c0f8,653700240
OL_06f1c34c017e4c00,642506570
OL_071fbf2d7ae8e3cc,650203656
OL_04945bbfa80dade2,642201350
OL_3d40750fa76c0e61,693902080
OL_d636d81b75da2a4e,2CHOK8
OL_74002b240ae43627,AA254080
OL_5c8c261a3c1c7cba,642201340
OL_c8b9f2a9c09713af,628900330
OL_a3eef4a822fd88f7,670608800
