note_id,mention_id
NOTE_001da14d176169b3,MENTION_5d9f6ff666cc1642
NOTE_001da14d176169b3,MENTION_9085a35889c0719e
NOTE_001da14d176169b3,MENTION_83b2b15b3d13ce15
NOTE_001da14d176169b3,MENTION_4b221c63d73a6040
NOTE_001da14d176169b3,MENTION_84f60617bfa6b0e9
NOTE_001da14d176169b3,MENTION_df74fa0ca14594a1
NOTE_001da14d176169b3,MENTION_c92edb50a90785da
NOTE_001da14d176169b3,MENTION_4c18278577fe0479
NOTE_001da14d176169b3,MENTION_d3989e3ec7c83b78
NOTE_00674f8f780e5d61,MENTION_7a8352ae4d02a30f
NOTE_0067b3279e5dfbc5,MENTION_bb9946bd56df1ce4
NOTE_0067b3279e5dfbc5,MENTION_43a5b29cef5cbec7
NOTE_0067b3279e5dfbc5,MENTION_f8bc051c62f71abc
NOTE_0067b3279e5dfbc5,MENTION_4ebe33c7cb67aa91
NOTE_0067b3279e5dfbc5,MENTION_0be9108626f99088
NOTE_0067b3279e5dfbc5,MENTION_04e2fe93604d1e89
NOTE_0067b3279e5dfbc5,MENTION_2fe39702f5c1f854
NOTE_008bdfda4e3d138c,MENTION_8e574f994e83664e
NOTE_008bdfda4e3d138c,MENTION_1fde0bf7fd6cbab5
NOTE_008bdfda4e3d138c,MENTION_486da5cd47b6ee0b
NOTE_008bdfda4e3d138c,MENTION_b0514d435109b66f
NOTE_008bdfda4e3d138c,MENTION_697e0d5acb070713
NOTE_008bdfda4e3d138c,MENTION_c180a6505c79d287
NOTE_008bdfda4e3d138c,MENTION_c4bd710a34693e1e
NOTE_008bdfda4e3d138c,MENTION_c256c0d259929dda
NOTE_008bdfda4e3d138c,MENTION_01ea40fc64adae41
NOTE_008bdfda4e3d138c,MENTION_70f52056c0303f10
NOTE_008bdfda4e3d138c,MENTION_254d256d0b71f709
NOTE_00d45fdcdc654848,MENTION_205fdf8dcc014f97
NOTE_00d45fdcdc654848,MENTION_91cf3cc928a5a130
NOTE_00d45fdcdc654848,MENTION_2e9195f99beef318
NOTE_00d45fdcdc654848,MENTION_d8f927c10e147686
NOTE_00d45fdcdc654848,MENTION_83790952f07c98ca
NOTE_00d45fdcdc654848,MENTION_c85f9ab6fe911fe9
NOTE_00d45fdcdc654848,MENTION_a6c63c8a968dc367
NOTE_010f5048d7bf2d4f,MENTION_4375eebf7f93c109
NOTE_012804c7e95188b2,MENTION_e8571122156dd7a0
NOTE_012804c7e95188b2,MENTION_da3c051c074c0636
NOTE_012804c7e95188b2,MENTION_a7a96a166112e0be
NOTE_012804c7e95188b2,MENTION_161d42a4b2d5d27e
NOTE_012804c7e95188b2,MENTION_14c379e4d9ad1ef3
NOTE_01368e94a9969dcb,MENTION_03454cf05f9f45a5
NOTE_01368e94a9969dcb,MENTION_6d20c6ec484813bb
NOTE_019bf2dbfb0774e9,MENTION_8ac6ee88885c78dd
NOTE_01b67e7185a6adc6,MENTION_f5108e1f9cfd9cbf
NOTE_01b67e7185a6adc6,MENTION_0441e8e42646e5df
NOTE_01fe28c31755e21f,MENTION_3be5b98b6a22f4ed
NOTE_01fe28c31755e21f,MENTION_ee281f1f573ae7ed
NOTE_01fe28c31755e21f,MENTION_eb053bd91789117d
NOTE_01fe28c31755e21f,MENTION_d43e7140b4285d01
NOTE_0278c450eca0e634,MENTION_8009586e43777fbc
NOTE_0278c450eca0e634,MENTION_83d07789ef97ab10
NOTE_0278c450eca0e634,MENTION_da4aeb55408dcb28
NOTE_0278c450eca0e634,MENTION_1ed2b7c9984f54a7
NOTE_0278c450eca0e634,MENTION_c044edff04d99e51
NOTE_028fb26fa2a5c236,MENTION_c85710ebb5f9aa76
NOTE_028fb26fa2a5c236,MENTION_eb617daec9356436
NOTE_028fb26fa2a5c236,MENTION_fd70e0ec5cb97059
NOTE_02952a12229345e2,MENTION_fc188710fb727a8a
NOTE_02952a12229345e2,MENTION_6dadfd0d36249469
NOTE_02e9f76a7ec682a2,MENTION_36148b57f04ab621
NOTE_02e9f76a7ec682a2,MENTION_be31b984cddbbc5b
NOTE_02e9f76a7ec682a2,MENTION_09fe60dfa097ca80
NOTE_02e9f76a7ec682a2,MENTION_a9948c6e33b7fdd5
NOTE_02e9f76a7ec682a2,MENTION_14fe728dfb82dff3
NOTE_02e9f76a7ec682a2,MENTION_46ecd0cd9fa3cf21
NOTE_02e9f76a7ec682a2,MENTION_4eedd334d857e965
NOTE_02e9f76a7ec682a2,MENTION_df30c0d4fd77f582
NOTE_02e9f76a7ec682a2,MENTION_a1480e45c7affd52
NOTE_02e9f76a7ec682a2,MENTION_a2da458bf460ce27
NOTE_02e9f76a7ec682a2,MENTION_144b16545aca327f
NOTE_031389d04252e150,MENTION_886e934b4dd3761a
NOTE_031389d04252e150,MENTION_aa87ddb084726657
NOTE_03430b753e19c0f3,MENTION_b272e131e0ea6ede
NOTE_039a8c32a51931a1,MENTION_7ba45b10809fe3e6
NOTE_039a8c32a51931a1,MENTION_28eeab8f6079e184
NOTE_039a8c32a51931a1,MENTION_114a05894f0e2e54
NOTE_039a8c32a51931a1,MENTION_5835a84e2cb0c84b
NOTE_04325a71cf7ab98c,MENTION_2a0c6be5593fe555
NOTE_04325a71cf7ab98c,MENTION_0e4651c243a70553
NOTE_04325a71cf7ab98c,MENTION_195bf648f97e6223
NOTE_0465ed1be9a6563f,MENTION_bffdb21aed080d80
NOTE_0465ed1be9a6563f,MENTION_200d9ad10b41660b
NOTE_0465ed1be9a6563f,MENTION_217f9236a6b6864f
NOTE_0465ed1be9a6563f,MENTION_68d196f2d03ab595
NOTE_0465ed1be9a6563f,MENTION_68b78f357169da68
NOTE_058c684caefc0e00,MENTION_e733d8a0442702c9
NOTE_058c684caefc0e00,MENTION_2b3e6cadf8bae8db
NOTE_058c684caefc0e00,MENTION_5fb5f6d31ee75263
NOTE_058c684caefc0e00,MENTION_b41f13c5fba37169
NOTE_058c684caefc0e00,MENTION_9c30c3be2eb1f98a
NOTE_059d2516d514dca7,MENTION_17cf8b4f54caeec1
NOTE_059d2516d514dca7,MENTION_87aa4a7d74b115f9
NOTE_059d2516d514dca7,MENTION_63a60ea0fac1d625
NOTE_059d2516d514dca7,MENTION_99c3177990755281
NOTE_059d2516d514dca7,MENTION_a30903e40332c859
NOTE_05cc5cb9b7be0733,MENTION_c0e73bd868c1a2cf
NOTE_05cc5cb9b7be0733,MENTION_11a1be861b58fe91
NOTE_05cc5cb9b7be0733,MENTION_c8402526de1e0b6a
