prescription_code,mention_id,link_source,confidence,review_flag
652001631,MENTION_5d9f6ff666cc1642,VISIT_JOIN,0.3,True
IA001013,MENTION_5d9f6ff666cc1642,VISIT_JOIN,0.3,True
652001631,MENTION_9085a35889c0719e,VISIT_JOIN,0.3,True
IA001013,MENTION_9085a35889c0719e,VISIT_JOIN,0.3,True
652001631,MENTION_83b2b15b3d13ce15,VISIT_JOIN,0.3,True
IA001013,MENTION_83b2b15b3d13ce15,VISIT_JOIN,0.3,True
652001631,MENTION_4b221c63d73a6040,VISIT_JOIN,0.3,True
IA001013,MENTION_4b221c63d73a6040,VISIT_JOIN,0.3,True
652001631,MENTION_84f60617bfa6b0e9,VISIT_JOIN,0.3,True
IA001013,MENTION_84f60617bfa6b0e9,VISIT_JOIN,0.3,True
652001631,MENTION_df74fa0ca14594a1,VISIT_JOIN,0.3,True
IA001013,MENTION_df74fa0ca14594a1,VISIT_JOIN,0.3,True
652001631,MENTION_c92edb50a90785da,VISIT_JOIN,0.3,True
IA001013,MENTION_c92edb50a90785da,VISIT_JOIN,0.3,True
652001631,MENTION_4c18278577fe0479,VISIT_JOIN,0.3,True
IA001013,MENTION_4c18278577fe0479,VISIT_JOIN,0.3,True
652001631,MENTION_d3989e3ec7c83b78,VISIT_JOIN,0.3,True
IA001013,MENTION_d3989e3ec7c83b78,VISIT_JOIN,0.3,True
643600471,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
678900231,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
AL801,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
AN500004,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
BAS,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
D0002010,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
D0002030,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
D0002040,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
D0002050,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
D0002070,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
D0013,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
D0113,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
D1830,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
D1840,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
D1850,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
D1860,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
D1870,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
D1880,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
D2280,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
D2300,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
D2611,MENTION_7a8352ae4d02a30f,VISIT_JOIN,0.3,True
